Country,WHO_Region,Cases._perMil,Deaths._perMil,mean._age,Transmission_Classification,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen_2018,latitude,longitude,Avg_Rainfall91.2016_mm,Avg_temp91.2016_c,GDPpc,PerUrb,HCexpend,inv_simpsons,Hookworm.disease,Schistosomiasis,Lymphatic.filariasis,inf_diseaseBurden,Total_tests_per_thousand,Diabetes_prevalence,Cardiovasc_death_rate,Spatial_lag
France,Europe,50338.74,1210.54,41.7,Community_transmission,0.001652556,0.114523888,0,0,0,0.077022279,47.11922029,46.227638,2.213749,70.20377468,11.54132609,38922.54789,80.181,38922.54789,2.344204,0,0,0,446307.4672,NA,4.77,86.06,68067.8575
Gabon,Africa,5317.8,31.9,21,Community_transmission,0.028935847,0.282017884,0.011189046,0.185191235,0.0440481,0.267156045,8.224764233,-0.803689,11.609444,151.18125,25.29725769,7464.6409,88.9528,7464.6409,5.581314,0.009838501,0.230453427,0.014840602,190270.2506,NA,7.2,259.967,3064.195
Gambia,Africa,1780.14,55.86,21.8,Community_transmission,0.011759807,0.133776567,0.054937772,0.026574461,0.038906579,0.165620608,225.3065217,13.443182,-15.310139,82.3163075,27.97866699,708.3577634,60.5892,708.3577634,6.567363,0.033643685,0.110079033,0.002467677,263611.1524,1825.471,1.91,331.43,9713.196667
Georgia,Europe,65942.84,828.74,38.6,Community_transmission,0.001288523,0.109937943,0.015369056,0,0.001932838,0.227950543,65.19733021,42.315407,43.356892,78.6664891,6.957606122,4370.769825,58.2374,4370.769825,2.964227,0.005581159,0,0,44733.287,NA,7.11,496.218,23537.6875
Germany,Europe,27355.17,741.86,47.8,Community_transmission,0.000991152,0.146411659,0,0,0,0.081853779,237.3075967,51.165691,10.451526,60.1511108,9.429345385,44400.56462,77.2746,44400.56462,2.156963,0,0,0,616747.0957,13645.33,8.31,156.139,63751.525
Ghana,Africa,2302.1,14.93,21.4,Community_transmission,0.010017413,0.173941494,0.031815474,0.192118039,0.02306386,0.2308767,130.8214292,7.946527,-1.023194,96.05532394,27.62778301,2021.120124,55.4018,2021.120124,6.786804,0.090188468,0.130672723,0.024582304,4496573.237,5708.871,4.97,298.245,1779.394
Greece,Europe,15789.52,575.36,45.3,Community_transmission,0.00044683,0.103239767,0,0,0,0.083077678,83.26518231,39.074208,21.824312,53.54714327,14.30444054,19024.2586,78.7206,19024.2586,2.491165,0,0,0,97399.25411,73948.978,4.55,175.695,28167.87714
Grenada,Americas,1315.29,8.89,33.3,Sporadic_cases,0.00251472,0.236158233,0.024248567,0,0.035334536,0.235909855,327.8058824,12.262776,-61.604171,128.8380674,27.16824263,10034.52604,36.1802,10034.52604,3.42442,0.007725418,0,0,1991.630165,NA,10.71,243.964,14126.20333
Guam,Western Pacific,44183.08,770.26,29.4,Clusters_of_cases,0.000713961,0.185593624,0.007481424,0,0.050129023,0.309385026,306.9777778,13.444304,144.793731,NA,NA,35542.53265,94.6978,35542.53265,3.173353,0.011304836,0,0,3252.027047,8253.654,10.18,155.898,1977.458
Guatemala,Americas,9112.02,330.55,23.2,Community_transmission,0.001740349,0.195921888,0.104741737,0.001598859,0.074313064,0.291609196,152.5471258,15.783471,-90.230759,220.1783569,23.93217083,4342.453438,50.6926,4342.453438,4.772492,0.079627841,0,0,723824.6596,NA,NA,NA,17997.35667
Guinea,Africa,1122.61,6.4,19.1,Community_transmission,0.01003892,0.142715843,0.130397823,0.305306526,0.053942345,0.221750365,50.52221227,9.945587,-9.696645,140.5542882,26.19758013,839.7120501,35.8068,839.7120501,6.261439,0.060011871,0.078822533,0.012348601,3474116.639,NA,2.42,336.717,1036.687143
Guinea-Bissau,Africa,1412.6,23.37,18,Community_transmission,0.016864644,0.150409563,0.062134895,0.026412745,0.069340627,0.231351546,66.65394737,11.803749,-15.180413,128.0463331,27.48197981,695.8105251,42.9476,695.8105251,6.597531,0.252557461,0.117311031,0.024921812,381700.5254,NA,2.42,382.474,6220.946
Guyana,Americas,10148.09,228.85,27.5,Clusters_of_cases,0.012610219,0.211748555,0.047571294,0.014096154,0.036760948,0.270902728,3.957348235,4.860416,-58.93018,197.276783,26.05163301,6053.713492,26.5512,6053.713492,4.766184,0.007748727,0,0.196688313,32340.39448,NA,11.62,373.159,14377.71667
Haiti,Americas,1044.33,21.57,24.1,Community_transmission,0.01381867,0.158996217,0.119809128,0.001683191,0.056983648,0.328742851,403.5985486,18.971187,-72.285215,116.9728216,25.13607564,1331.437916,54.3278,1331.437916,4.632082,0.079674374,0,0.012752231,1416730.97,NA,6.65,430.548,18586.434
Honduras,Americas,15605.67,375.68,45.6,Community_transmission,0.000990512,0.238099665,0.192169106,0.001268716,0.076137514,0.291534239,85.68703191,15.199999,-86.241905,160.9768376,24.01401122,2435.840574,56.4522,2435.840574,4.61829,0.040953977,0,0,228355.2056,NA,7.21,240.208,9712.614
Hungary,Europe,39204.99,1371.48,43.6,Community_transmission,0.000223069,0.070741494,0,0,0,0.164602207,107.9814868,47.162494,19.503304,52.13354734,10.8767866,14709.05221,71.0672,14709.05221,2.551818,0,0,0,68179.80479,52725.651,7.55,278.296,58919.55857
Iceland,Europe,17641.39,84.98,37.1,Community_transmission,0.00059905,0.115773025,0,0,0,0.073136405,3.518413965,64.963051,-19.020835,92.33924551,2.307253397,65051.14194,93.7752,65051.14194,2.265737,0,0,0,2135.295976,173416.332,5.31,117.992,31932.41125
India,South-East Asia,7860.34,112.43,28.7,Clusters_of_cases,0.001345282,0.074880416,0.094962154,0.004438405,0.056482678,0.27560445,454.9380726,20.593684,78.96288,86.6361734,24.56394071,1885.05656,33.6122,1885.05656,3.794337,0.017296122,0,0.027401915,81125828.03,26179.253,10.39,282.28,12718.76667
Indonesia,South-East Asia,4263.17,116.13,31.1,Community_transmission,0.001160996,0.13726551,0.067483421,0.00302229,0.085631867,0.366531916,147.7521901,-0.789275,113.921327,239.5649064,26.26064519,3752.321661,54.6542,3752.321661,3.590123,0.022801541,6.25E-05,0.023344964,10273812.98,3247.401,6.32,342.864,3355.014
Iran (Islamic Republic of),Eastern Mediterranean,17546.19,696.92,31.7,Community_transmission,0.000341184,0.134756166,0.021642108,5.19E-05,0.027636925,0.281732912,50.22242012,32.427908,53.688046,17.60874276,17.76754189,5307.030804,74.3842,5307.030804,2.74494,0.002339563,2.13E-05,0,784173.5432,12626.093,9.59,270.308,26210.817
Iraq,Eastern Mediterranean,15669.42,326.33,21.2,Community_transmission,6.15E-05,0.086727559,0.023273736,0,0.038428588,0.145789801,88.53057004,33.223191,43.679291,14.71366144,22.33393337,5352.312834,70.2888,5352.312834,5.10372,0.006844312,0.097786042,0,590915.4471,21492.724,8.83,218.612,25987.09286
Ireland,Europe,41394.46,746.69,37.8,Community_transmission,0.000486813,0.110499385,0,0,0,0.073486405,70.65344753,53.41291,-8.24389,98.02790506,9.64084359,70459.40734,62.9594,70459.40734,2.307077,0,0,0,31233.24807,121869.168,3.28,126.459,52786.69
Israel,Europe,79846.13,596.5,30.4,Community_transmission,0.001551045,0.08995023,0,0,0,0.079294854,410.4805915,31.046051,34.851612,20.33762782,20.26481766,39790.41806,92.338,39790.41806,2.467147,0,0,0,56906.47757,235630.062,6.74,93.32,29478.4825
Italy,Europe,43741.77,1514.67,46.5,Clusters_of_cases,0.001658128,0.120105117,0,0,0,0.09553505,205.4183722,41.87194,12.56738,76.35498878,12.62638042,32284.13089,70.1476,32284.13089,2.359126,0,0,0,315968.5019,110647.692,4.78,113.151,45941.12857
Jamaica,Americas,5841.62,120.9,29.4,Community_transmission,0.005839854,0.264161547,0.0125688,0,0.040823341,0.216251473,270.9930748,18.109581,-77.297508,176.2444825,25.66470417,5151.305334,55.3936,5151.305334,3.383996,0.014099638,0,0,47248.64737,7330.959,11.28,206.537,23094.68333
Japan,Western Pacific,3216.14,51.2,48.6,Clusters_of_cases,0.000371838,0.105405746,0,0,0,0.18501688,347.0734584,36.204824,138.252924,136.2051696,11.33879721,38215.82057,91.5374,38215.82057,2.301526,0,0,0,1615976.792,8960.716,5.72,79.37,18308.0725
Jordan,Eastern Mediterranean,33013.29,429.77,23.5,Community_transmission,5.61E-05,0.105527809,0.019455392,0,0.03192618,0.026408775,112.1424983,30.585164,36.238414,8.38079609,19.44318571,4258.55369,90.7382,4258.55369,3.785011,0.002826794,0.006320894,0,112924.5293,60189.206,11.75,208.257,25971.64667
Kazakhstan,Europe,13066.77,169.63,31.6,Clusters_of_cases,0.000969608,0.092888197,0.012406677,0,0.002365282,0.201680842,6.769825721,48.019573,66.923684,21.77255298,6.810408141,9419.637369,57.3518,9419.637369,3.219706,0.006543579,0,0,304930.3915,74191.743,7.11,466.792,20237.02143
Kenya,Africa,1895.88,33.21,20,Community_transmission,0.034597479,0.214270624,0.028937526,0.070197799,0.039942978,0.268673154,90.29941666,-0.023559,37.906193,54.80080484,25.11858814,1568.856027,26.5724,1568.856027,5.933747,0.035140029,0.171419155,0.014144642,7469318.471,1347.021,2.92,218.637,1077.873333
Kuwait,Eastern Mediterranean,40274.24,226.9,29.7,Community_transmission,7.06E-05,0.117203033,0,0,0,0.118998588,232.1723906,29.31166,47.481766,9.824115962,26.08960545,30655.37261,100,30655.37261,2.869504,0,0,0,30302.00697,77878.569,15.84,132.235,26840.1475
Kyrgyzstan,Europe,13054.64,219.64,27.3,Clusters_of_cases,0.001009872,0.079284872,0.041284009,0,0.001192604,0.220525785,32.96558916,41.20438,74.766098,33.85907856,3.137479615,1220.41043,36.1596,1220.41043,3.321791,0.009363411,0,0,120811.0598,NA,7.11,436.362,8831.223333
Latvia,Europe,38218.68,714.13,44.4,Community_transmission,0.002072614,0.166774787,0,0,0,0.18023144,30.99347057,56.879635,24.603189,55.69609228,6.696891314,15891.95885,68.088,15891.95885,2.663625,0,0,0,23993.51585,118111.537,4.91,350.06,47832.895
Lebanon,Eastern Mediterranean,47173.48,538.72,33.7,Community_transmission,0.000245793,0.110308049,0.022596932,0,0.028811767,0.112747315,669.4941349,33.854721,35.862285,44.97702968,16.5730676,7736.823285,88.4304,7736.823285,3.803233,0.003016346,6.93E-05,0,64717.89916,NA,12.71,266.591,34376.26333
Lesotho,Africa,4378.58,85.42,24.7,Community_transmission,0.187166476,0.286993335,0.02264249,0,0.051435214,0.288332561,69.43781291,-29.609988,28.233608,60.71625439,13.46854051,1137.160768,27.7386,1137.160768,4.544893,0.009744446,0,0,886561.5338,NA,3.94,405.126,8549.048333
Liberia,Africa,386.74,16.61,18,Community_transmission,0.008011503,0.156307679,0.154972805,0.378951646,0.083174988,0.20373991,50.03090739,6.428055,-9.429499,207.2174294,25.71297404,684.5848293,50.7074,684.5848293,7.891935,0.081369572,0.291265413,0.068171842,919868.9668,NA,2.42,272.509,11448.985
Libya,Eastern Mediterranean,18174.46,287.28,25.8,Community_transmission,0.00022655,0.108734124,0.011615568,0,0.03078854,0.163869375,3.795632381,26.3351,17.228331,3.409302308,22.80773782,5938.576684,79.8244,5938.576684,4.249871,0.003217953,0.137783911,0,73990.28514,NA,10.43,341.862,11691.36
Lithuania,Europe,68846.84,1091.73,44.5,Community_transmission,0.000701128,0.165846491,0,0,0,0.185949609,44.72307577,55.169438,23.881275,55.26462994,7.280419231,16983.96583,67.5292,16983.96583,2.643048,0,0,0,32086.28288,137878.211,3.67,342.989,42089.57
