country,cases,deaths,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,GDPpc,PerUrb,HCexpend,invSimp,Hookworm,Schistosomiasis,Lymphatic.filariasis,IDBurd,tests,Diabetes,cardioDR,spatLag,reg,trans,PropOver 70,AirConnectivityIndex
Costa Rica,38562,525,32.6,0.001510127,0.249690478,0.073293082,0,0.04891673,0.2137157,97.91306306,243.6692138,24.92141442,11827.23277,78.5146,11827.23277,4.124231,0.018762861,0,0,47397.47801,2665.772,2.42,303.74,24989.57,Amer,comm,9.880435323,0.03
Croatia,57428,1273,43.9,2.21E-04,0.098260066,0,0,0,0.145472657,73.04937455,89.79589846,11.44510413,13509.00583,56.6828,13509.00583,2.82677,0,0,0,24175.69268,44987.413,5.59,253.782,64468.2325,Euro,comm,20.86013523,0.09
Cuba,2956,21,42.1,0.002240084,0.277051118,0.021490859,0,0.030604733,0.183455201,108.9995962,112.6315038,25.90257436,8279.459343,76.9898,8279.459343,3.148076,0.007606103,0,0,181244.7322,32161.237,8.27,190.968,14768.43,Amer,comm,15.56495916,0.05
Cyprus,26391,177,37.9,1.55E-04,0.114568362,0,0,0,0.081148834,128.7083333,37.82776529,19.47115897,26150.60121,66.8556,26150.60121,2.313696,0,0,0,5925.231136,363477.617,9.24,141.171,27193.51167,Euro,clust,17.16883689,0.05
Czechia,97594,1634,43.3,1.64E-04,0.079950371,0,0,0,0.148011115,137.6577053,56.57416423,8.756214455,20790.31403,73.687,20790.31403,2.692145,0,0,0,92634.70528,142313.8278,6.82,227.485,39675.89667,Euro,comm,14.04826565,0.1
Democratic Republic of the Congo,264,8,16.7,0.004399102,0.220320909,0.14343247,0.251714316,0.124957197,0.313106547,37.08259236,122.1602333,24.53754904,514.6982648,43.8866,514.6982648,7.636924,0.137829346,0.050999004,0.024192352,15851031.15,5072.488477,6.1,318.949,1323.811667,Afri,comm,19.80074484,0.02
Denmark,34883,383,42,0.001194471,0.128687325,0,0,0,0.08061606,137.9765658,61.73003987,8.678213269,57459.56645,87.7586,57459.56645,2.247537,0,0,0,48953.80079,416039.197,6.41,114.767,49180.47833,Euro,comm,19.96525913,0.09
Djibouti,6022,64,24.9,0.01162396,0.205471941,0.039146068,0.013112981,0.031037366,0.185034222,41.36842105,21.71606471,28.26240865,2986.47475,77.657,2986.47475,4.336196,0.009997282,0.00212565,0,152543.8687,17467.59137,6.05,258.037,569.29,EMed,clust,4.609063643,0.02
Dominican Republic,20660,262,27.9,0.005676965,0.212857024,0.048114851,2.15E-05,0.036627944,0.234603392,219.9785759,121.4442597,24.48336154,7628.896587,80.2362,7628.896587,4.85857,0.006837338,0.124032855,0.016394668,313471.2202,15897.987,8.2,266.653,18969.895,Amer,comm,7.298389658,0.05
Ecuador,14658,851,28.8,0.002364769,0.233564259,0.083419841,0.00156621,0.056763742,0.149822992,68.78868175,185.949474,21.70914423,6175.569094,63.6818,6175.569094,3.996424,0.00540088,0,0,395173.5921,9439.902,5.55,140.448,36079.345,Amer,comm,7.372199367,0.02
Egypt,1663,95,24.1,4.72E-05,0.090130189,0.030892309,0,0.023953185,0.2850804,98.87346929,2.485025064,23.05570769,3016.685489,42.7312,3016.685489,2.850767,0.003722298,0.012140755,0.00721943,2415120.45,58725.22767,17.31,525.432,22147.517,EMed,clust,5.276332976,0.04
El Salvador,8734,261,27.7,0.003484775,0.23023373,0.055061099,9.86E-05,0.067319448,0.252553152,309.8814672,151.2771268,24.37199647,3935.347657,71.249,3935.347657,4.427262,0.058641967,0,0,136830.2207,23420.179,8.87,167.295,17707.66714,Amer,comm,8.469582569,0.03
Equatorial Guinea,4001,62,20.3,0.051830953,0.225254293,0.025386441,0.336657105,0.047888214,0.242399005,46.66573975,181.8614803,24.89411058,9695.565902,71.634,9695.565902,5.342202,0.014961297,0.042097156,0.011434465,244255.7199,21703.04514,7.78,202.812,2964.972,Afri,comm,2.424508808,0.02
