country,cases,deaths,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,GDPpc,PerUrb,HCexpend,invSimp,Hookworm,Schistosomiasis,Lymphatic.filariasis,IDBurd,tests,Diabetes,cardioDR,spatLag,reg,trans,PropOver 70,AirConnectivityIndex
Ireland,41394,747,37.8,4.87E-04,0.110499385,0,0,0,0.073486405,70.65344753,98.02790506,9.64084359,70459.40734,62.9594,70459.40734,2.307077,0,0,0,31233.24807,121869.168,3.28,126.459,52786.69,Euro,comm,14.22283075,0.08
Israel,79846,596,30.4,0.001551045,0.08995023,0,0,0,0.079294854,410.4805915,20.33762782,20.26481766,39790.41806,92.338,39790.41806,2.467147,0,0,0,56906.47757,235630.062,6.74,93.32,29478.4825,Euro,comm,12.20867441,0.05
Italy,43742,1515,46.5,0.001658128,0.120105117,0,0,0,0.09553505,205.4183722,76.35498878,12.62638042,32284.13089,70.1476,32284.13089,2.359126,0,0,0,315968.5019,110647.692,4.78,113.151,45941.12857,Euro,clust,23.01213665,0.09
Jamaica,5842,121,29.4,0.005839854,0.264161547,0.0125688,0,0.040823341,0.216251473,270.9930748,176.2444825,25.66470417,5151.305334,55.3936,5151.305334,3.383996,0.014099638,0,0,47248.64737,7330.959,11.28,206.537,23094.68333,Amer,comm,8.922391673,0.04
Japan,3216,51,48.6,3.72E-04,0.105405746,0,0,0,0.18501688,347.0734584,136.2051696,11.33879721,38215.82057,91.5374,38215.82057,2.301526,0,0,0,1615976.792,8960.716,5.72,79.37,18308.0725,WPac,clust,28.00204928,0.05
Jordan,33013,430,23.5,5.61E-05,0.105527809,0.019455392,0,0.03192618,0.026408775,112.1424983,8.38079609,19.44318571,4258.55369,90.7382,4258.55369,3.785011,0.002826794,0.006320894,0,112924.5293,60189.206,11.75,208.257,25971.64667,EMed,comm,3.893416292,0.04
Kazakhstan,13067,170,31.6,9.70E-04,0.092888197,0.012406677,0,0.002365282,0.201680842,6.769825721,21.77255298,6.810408141,9419.637369,57.3518,9419.637369,3.219706,0.006543579,0,0,304930.3915,74191.743,7.11,466.792,20237.02143,Euro,clust,7.652343941,0.03
Kenya,1896,33,20,0.034597479,0.214270624,0.028937526,0.070197799,0.039942978,0.268673154,90.29941666,54.80080484,25.11858814,1568.856027,26.5724,1568.856027,5.933747,0.035140029,0.171419155,0.014144642,7469318.471,1347.021,2.92,218.637,1077.873333,Afri,comm,2.42382671,0.02
Kuwait,40274,227,29.7,7.06E-05,0.117203033,0,0,0,0.118998588,232.1723906,9.824115962,26.08960545,30655.37261,100,30655.37261,2.869504,0,0,0,30302.00697,77878.569,15.84,132.235,26840.1475,EMed,comm,2.763838983,0.04
Kyrgyzstan,13055,220,27.3,0.001009872,0.079284872,0.041284009,0,0.001192604,0.220525785,32.96558916,33.85907856,3.137479615,1220.41043,36.1596,1220.41043,3.321791,0.009363411,0,0,120811.0598,45754.22293,7.11,436.362,8831.223333,Euro,clust,4.600294583,0.03
Latvia,38219,714,44.4,0.002072614,0.166774787,0,0,0,0.18023144,30.99347057,55.69609228,6.696891314,15891.95885,68.088,15891.95885,2.663625,0,0,0,23993.51585,118111.537,4.91,350.06,47832.895,Euro,comm,20.336511,0.04
Lebanon,47173,539,33.7,2.46E-04,0.110308049,0.022596932,0,0.028811767,0.112747315,669.4941349,44.97702968,16.5730676,7736.823285,88.4304,7736.823285,3.803233,0.003016346,6.93E-05,0,64717.89916,52910.05714,12.71,266.591,34376.26333,EMed,comm,7.273291633,0.07
