country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Bhutan,19.77752777,159.6253066,40.156,3105.89273,9.75,217.066,4826.895,SEAs,clust,771612,2.744861849785538,-0.2051261413302825,0.055677302043559626,861,1,11.41074537528063,6.7580945044277305,13.556237111992312,35910.23868213558
Bolivia (Plurinational State of),10.48014585,91.00180651,69.0818,3312.882825,6.89,204.299,27434.6216666667,Amer,comm,11673029,-0.44649506609226236,0.6492629682325203,0.3944100650806178,227963,10798,9.217855462810176,12.336938614065886,16.272791524997345,45193.11971211585
Bosnia and Herzegovina,64.92048828,90.6193324,47.8876,5459.4494780000005,10.08,329.635,59660.3228571429,Euro,comm,3280815,0.22073898118054516,-0.08705563820616032,-1.627562890794898,124100,4813,10.252257504189952,11.728842971192698,15.00360242510513,7240.48356886932
Botswana,3.977424876,31.47796862,68.6812,7635.579977,4.81,237.372,9062.59428571429,Afri,comm,2351625,-4.828051101713504,-0.8650870777085702,1.0908656934331715,24436,179,10.176889763385793,10.103812733769658,14.670617136513432,196815.82573752195
Brazil,25.06171624,147.6897981,86.3028,9033.580888,8.11,177.961,13421.78625,Amer,comm,212559409,-1.4296812524106728,1.1740790238387024,-0.3470168765905831,9524575,231477,5.478490784409432,16.06938585855899,19.174732079020547,22682.092233329462
British Virgin Islands,198.68,96.8854295094371,47.3432,31807.9302119478,9.01342000000002,179.02756154881,17891.73,Amer,clust,30237,0.08920194306063298,0.683037672779828,-1.2793796448828947,141,1,11.7481516400952,4.948759890378168,10.316821619022988,107869301.16958362
Brunei Darussalam,81.39696395,272.6018391,77.3072,29921.92243,12.79,201.285,5399.56,WPac,spor,437483,-0.08458081870918188,0.04016166131307955,-0.6601237955279775,182,3,11.567725016563148,5.204006687076795,12.98879312688199,11251.548094440242
Bulgaria,64.71109985,52.67103913,74.6686,8438.950271,5.81,424.688,36623.0557142857,Euro,clust,6927288,1.5620567246623747,-1.1658006585303773,-0.4380942285589636,224167,9393,10.478439706333008,12.320146588777764,15.750978952580484,10897.806767958833
Burkina Faso,72.19128289,66.58027099,28.749,735.3127105,2.42,269.048,838.221666666667,Afri,comm,20903278,0.8393012270219524,-1.849163037576797,2.083668037400578,11309,125,8.822649869794787,9.333354147871328,16.855416546741864,319039.6494272334
Burundi,435.178271,103.0768135,12.714,282.7480102,6.05,293.068,1241.16,Afri,comm,11890781,0.5930599691301613,-1.1233217522905932,2.0667069614469002,1724,0,8.681784119012608,7.452402451223638,16.291273951959727,206787.03316460038
Cabo Verde,134.9297767,28.93012,65.2544,3337.546481,2.42,182.219,14756.9275,Afri,comm,555988,-0.30644401302768876,0.28507564226524607,0.48760088443140404,14451,136,10.184800852416657,9.57851889529833,13.228501990265995,34955.29446678705
Cameroon,53.34398891,131.5150435,55.7752,1431.776971,7.2,244.661,1477.942,Afri,comm,26545864,-0.007639074167594573,-0.8771966368291897,2.348465599406131,31404,478,8.319246712260538,10.354690552318147,17.09438451197276,242885.7029479244
Canada,4.075188239,38.67237853,81.3604,44712.88921,7.37,105.599,31135.8875,Amer,comm,38005238,0.027738557438009043,-0.5450518857332134,-1.4354340600906357,809854,20903,11.623631589368655,13.604609263488614,17.453234550296575,6850.187755698307
Central African Republic,7.490412212,113.5673233,41.0018,434.8751176,6.1,435.727,785.272857142857,Afri,comm,4829764,0.29685799319527273,0.3018989453548654,2.1532734631874666,4989,63,8.904619879195543,8.514990767861038,15.39030816315136,487146.79599251645
Chad,12.29173364,28.75294837,22.8776,714.2214925,6.1,280.995,3372.28714285714,Afri,comm,16425859,2.0181018639332575,-0.9992837269314526,2.348116835275052,3515,131,9.189586120749539,8.164794804244766,16.61436741929316,389912.27381167706
Chile,25.18944607,50.72814519,87.4958,14629.67689,8.46,127.993,26737.578,Amer,comm,19116209,-0.5338668773211689,0.3204640702640339,-0.7475617606206661,755358,19059,11.33715233236842,13.534947088032487,16.766047171870053,9455.628634317609
China,148.3488333,48.27837978,57.9312,9066.535078,9.74,261.899,1049.695,WPac,clust,1409593800,0.1614442099700953,1.3125435436143742,-1.0170286727531004,97262,4229,5.157283615767317,11.485163647184558,21.06656741472562,8698.452078889675
Colombia,44.75985219,221.0699689,80.44,6313.789701,7.44,124.24,22654.0171428571,Amer,comm,50882884,-0.23422418314862098,1.2462900928199478,0.04957907813845942,2157231,55971,10.499639657151112,14.584336012822206,17.74503715777969,13448.350549469642
