country,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,PerUrb,HCexpend,Hookworm,Schistosomiasis,Lymphatic.filariasis,Diabetes,cardioDR,spatLag,reg,trans,pop,cases,deaths,log_tests,log_cases,log_pop
Indonesia,31.1,0.001160996,0.13726551,0.067483421,0.00302229,0.085631867,0.366531916,147.7521901,239.5649064,26.26064519,54.6542,3752.321661,0.022801541,6.25e-5,0.023344964,6.32,342.864,3355.014,SEAs,comm,273523621,1166031,31729,8.085610263091626,13.969116232160083,19.426898541727727
Iran (Islamic Republic of),31.7,3.41184e-4,0.134756166,0.021642108,5.19e-5,0.027636925,0.281732912,50.22242012,17.60874276,17.76754189,74.3842,5307.030804,0.002339563,2.13e-5,0,9.59,270.308,26210.817,EMed,comm,83992953,1473740,58543,9.443520824653652,14.203313945399332,18.24624346043124
Iraq,21.2,6.15e-5,0.086727559,0.023273736,0,0.038428588,0.145789801,88.53057004,14.71366144,22.33393337,70.2888,5352.312834,0.006844312,0.097786042,0,8.83,218.612,25987.0928571429,EMed,comm,40222503,630246,13113,9.975469738234604,13.353865498342204,17.509937173092446
Ireland,37.8,4.86813e-4,0.110499385,0,0,0,0.073486405,70.65344753,98.02790506,9.64084359,62.9594,70459.40734,0,0,0,3.28,126.459,52786.69,Euro,comm,4994724,206752,3731,11.710703354847498,12.239275286357891,15.423892713282909
Israel,30.4,0.001551045,0.08995023,0,0,0,0.079294854,410.4805915,20.33762782,20.26481766,92.338,39790.41806,0,0,0,6.74,93.32,29478.4825,Euro,comm,9216900,735933,5493,12.370018320242774,13.508894360958598,16.03654931339975
Italy,46.5,0.001658128,0.120105117,0,0,0,0.09553505,205.4183722,76.35498878,12.62638042,70.1476,32284.13089,0,0,0,4.78,113.151,45941.1285714286,Euro,clust,59554023,2605012,90224,11.614106486698617,14.772947839684907,17.9023944081588
Jamaica,29.4,0.005839854,0.264161547,0.0125688,0,0.040823341,0.216251473,270.9930748,176.2444825,25.66470417,55.3936,5151.305334,0.014099638,0,0,11.28,206.537,23094.6833333333,Amer,comm,2961161,17299,358,8.899861618519365,9.758403975346978,14.901091979128001
Japan,48.6,3.71838e-4,0.105405746,0,0,0,0.18501688,347.0734584,136.2051696,11.33879721,91.5374,38215.82057,0,0,0,5.72,79.37,18308.0725,WPac,clust,125836021,404689,6418,9.100605413490571,12.910874149866931,18.650490196697543
Jordan,23.5,5.61e-5,0.105527809,0.019455392,0,0.03192618,0.026408775,112.1424983,8.38079609,19.44318571,90.7382,4258.55369,0.002826794,0.006320894,0,11.75,208.257,25971.6466666667,EMed,comm,10203140,336836,4387,11.005248312894746,12.7273514439992,16.138206074017777
Kazakhstan,31.6,9.69608e-4,0.092888197,0.012406677,0,0.002365282,0.201680842,6.769825721,21.77255298,6.810408141,57.3518,9419.637369,0.006543579,0,0,7.11,466.792,20237.0214285714,Euro,clust,18754440,245064,3188,11.214408142639908,12.409274679903483,16.746941082348
Kenya,20,0.034597479,0.214270624,0.028937526,0.070197799,0.039942978,0.268673154,90.29941666,54.80080484,25.11858814,26.5724,1568.856027,0.035140029,0.171419155,0.014144642,2.92,218.637,1077.87333333333,Afri,comm,53771300,101950,1774,7.205650766489283,11.532237776002601,17.800250425544
Kuwait,29.7,7.06e-5,0.117203033,0,0,0,0.118998588,232.1723906,9.824115962,26.08960545,100,30655.37261,0,0,0,15.84,132.235,26840.1475,EMed,comm,4270563,171993,969,11.262906084895135,12.055209057292998,15.26725622663044
Kyrgyzstan,27.3,0.001009872,0.079284872,0.041284009000000003,0,0.001192604,0.220525785,32.96558916,33.85907856,3.137479615,36.1596,1220.41043,0.009363411,0,0,7.11,436.362,8831.22333333333,Euro,clust,6591600,86053,1450,10.731039370859184,11.36271866448345,15.701306669118711
Latvia,44.4,0.002072614,0.166774787,0,0,0,0.18023144,30.99347057,55.69609228,6.696891314,68.088,15891.95885,0,0,0,4.91,350.06,47832.895,Euro,comm,1901548,72675,1358,11.679384685813915,11.193752725427077,14.458178849260877
Lebanon,33.7,2.45793e-4,0.110308049,0.022596932,0,0.028811767,0.112747315,669.4941349,44.97702968,16.5730676,88.4304,7736.823285,0.003016346,6.93e-5,0,12.71,266.591,34376.2633333333,EMed,comm,6825442,321977,3679,10.876348715835228,12.682235393403975,15.736167658843097
Lesotho,24.7,0.187166476,0.286993335,0.02264249,0,0.051435214,0.288332561,69.43781291,60.71625439,13.46854051,27.7386,1137.160768,0.009744446,0,0,3.94,405.126,8549.04833333333,Afri,comm,2142252,9381,182,9.788830971261394,9.14644164612595,14.577368170128782
Liberia,18,0.008011503,0.156307679,0.154972805,0.378951646,0.083174988,0.20373991,50.03090739,207.2174294,25.71297404,50.7074,684.5848293,0.081369572,0.291265413,0.068171842,2.42,272.509,11448.985,Afri,comm,5057677,1957,86,9.09779916318414,7.579167967396076,15.436417844940062
Libya,25.8,2.2655e-4,0.108734124,0.011615568,0,0.03078854,0.163869375,3.795632381,3.409302308,22.80773782,79.8244,5938.576684,0.003217953,0.137783911,0,10.43,341.862,11691.36,EMed,comm,6871287,124879,1972,10.744179746997453,11.735100547469871,15.74286198289783
Lithuania,44.5,7.01128e-4,0.165846491,0,0,0,0.185949609,44.72307577,55.26462994,7.280419231,67.5292,16983.96583,0,0,0,3.67,342.989,42089.57,Euro,comm,2794700,192407,3052,11.834126045495855,12.167368199088298,14.843235324284635
Luxembourg,39.5,9.57187e-4,0.116022538,0,0,0,0.078303623,250.1851852,78.70049942,9.932402372,90.714,108928.1788,0,0,0,4.42,128.275,52147.658,Euro,comm,632275,52401,603,13.30688645906308,10.866680954096502,13.357079705071154
